symbol,date,open,high,low,close,volume
AAPL,2023-01-01,166.04,170.4,166.2,167.42,3782698
AAPL,2023-01-02,168.46,169.45,167.14,167.98,4901729
AAPL,2023-01-03,165.94,168.47,163.96,165.11,1264964
AAPL,2023-01-04,168.67,172.7,168.27,169.48,7136289
AAPL,2023-01-05,169.5,173.33,166.26,168.96,4987442
AAPL,2023-01-06,163.96,167.8,163.09,165.18,6664905
AAPL,2023-01-09,164.32,165.76,162.65,164.88,4161658
AAPL,2023-01-10,163.89,163.96,160.35,163.83,5203979
AAPL,2023-01-11,157.03,162.56,154.12,158.56,2885167
AAPL,2023-01-12,158.74,160.03,156.55,159.89,5195891
AAPL,2023-01-13,160.53,160.77,159.56,160.33,2336820
AAPL,2023-01-16,159.22,161.61,157.36,160.54,2379156
AAPL,2023-01-17,162.54,164.62,162.08,162.41,5646250
AAPL,2023-01-18,164.66,163.57,162.74,163.17,5276445
AAPL,2023-01-19,162.94,163.54,160.22,162.56,6587704
AAPL,2023-01-20,161.47,163.44,159.54,161.26,1694229
AAPL,2023-01-23,165.62,166.45,165.8,166.02,7739187
AAPL,2023-01-24,168.55,170.08,166.62,168.0,6204785
AAPL,2023-01-25,166.42,168.41,166.53,166.56,6199934
AAPL,2023-01-26,167.66,167.7,166.08,166.64,722725
AAPL,2023-01-27,165.72,167.25,163.27,167.1,4038224
AAPL,2023-01-30,163.48,164.54,160.89,163.32,5725985
AAPL,2023-01-31,170.26,171.54,166.59,168.81,3718244
AAPL,2023-02-01,170.33,171.01,165.64,170.52,3720194
AAPL,2023-02-02,171.02,175.51,171.88,171.96,4523937
AAPL,2023-02-03,170.54,176.28,171.28,171.33,3311079
AAPL,2023-02-06,173.83,174.6,168.37,172.35,7146229
AAPL,2023-02-07,173.67,176.34,168.54,172.2,6508785
AAPL,2023-02-08,170.96,172.83,171.62,171.76,4978436
AAPL,2023-02-09,177.46,178.25,170.98,176.22,5761720
AAPL,2023-02-10,169.79,174.4,165.83,169.45,3645332
AAPL,2023-02-13,169.81,171.23,165.43,169.65,7675236
AAPL,2023-02-14,166.64,171.74,166.64,167.79,6069594
AAPL,2023-02-15,168.31,172.29,167.38,169.49,4032824
AAPL,2023-02-16,165.55,168.91,163.83,166.47,2024493
